timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,Latency,Hostname,"UUID"
2013/11/27 13:30:58.161,123,Get Antonio-Light.ttf,200,OK,Thread Group 1-12,true,46906,54,CACSVM-12354.local,12
2013/11/27 13:30:56.467,1834,Call ajax,200,OK,Thread Group 1-10,true,168374,72,CACSVM-12354.local,10
2013/11/27 13:30:58.138,203,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-8,true,64261,58,CACSVM-12354.local,8
2013/11/27 13:30:56.844,1517,Call ajax,200,OK,Thread Group 1-16,true,168381,46,CACSVM-12354.local,16
2013/11/27 13:30:56.860,1524,Get html,200,OK,Thread Group 1-21,true,168529,126,CACSVM-12354.local,21
2013/11/27 13:30:58.272,147,Get Antonio-Light.woff,200,OK,Thread Group 1-9,true,43894,71,CACSVM-12354.local,9
2013/11/27 13:30:58.247,228,Get Antonio-Regular.tff,200,OK,Thread Group 1-1,true,48286,70,CACSVM-12354.local,1
2013/11/27 13:30:58.248,235,Get Antonio-Regular.tff,200,OK,Thread Group 1-4,true,48286,82,CACSVM-12354.local,4
2013/11/27 13:30:58.248,253,Get Antonio-Regular.tff,200,OK,Thread Group 1-13,true,48286,82,CACSVM-12354.local,13
2013/11/27 13:30:58.343,324,Get Roboto-Light.woff,200,OK,Thread Group 1-8,true,71137,79,CACSVM-12354.local,8
2013/11/27 13:30:58.502,165,Get Antonio-Light.ttf,200,OK,Thread Group 1-13,true,46906,69,CACSVM-12354.local,13
2013/11/27 13:30:57.407,1262,Call ajax,200,OK,Thread Group 1-18,true,168374,52,CACSVM-12354.local,18
2013/11/27 13:30:58.483,227,Get Antonio-Light.ttf,200,OK,Thread Group 1-4,true,46906,61,CACSVM-12354.local,4
2013/11/27 13:30:57.457,1260,Get html,200,OK,Thread Group 1-27,true,168537,422,CACSVM-12354.local,27
2013/11/27 13:30:57.994,875,Get Roboto-Light.woff,200,OK,Thread Group 1-14,true,71137,58,CACSVM-12354.local,14
2013/11/27 13:30:58.668,222,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-13,true,64261,70,CACSVM-12354.local,13
2013/11/27 13:30:58.668,288,Get Roboto-Medium.woff,200,OK,Thread Group 1-8,true,70569,75,CACSVM-12354.local,8
2013/11/27 13:30:58.670,324,Get Antonio-Regular.tff,200,OK,Thread Group 1-18,true,48286,83,CACSVM-12354.local,18
2013/11/27 13:30:57.418,1640,Get Antonio-Regular.tff,200,OK,Thread Group 1-15,true,48286,62,CACSVM-12354.local,15
2013/11/27 13:30:58.246,822,Call ajax,200,OK,Thread Group 1-19,true,168374,95,CACSVM-12354.local,19
2013/11/27 13:30:57.669,1440,Get html,200,OK,Thread Group 1-29,true,168533,143,CACSVM-12354.local,29
2013/11/27 13:30:58.711,446,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-4,true,64261,79,CACSVM-12354.local,4
2013/11/27 13:30:58.957,226,Get Antonio-Light.woff,200,OK,Thread Group 1-8,true,43894,86,CACSVM-12354.local,8
2013/11/27 13:30:58.995,229,Get Antonio-Light.ttf,200,OK,Thread Group 1-18,true,46906,76,CACSVM-12354.local,18
2013/11/27 13:30:58.363,908,Get Antonio-Regular.tff,200,OK,Thread Group 1-16,true,48286,84,CACSVM-12354.local,16
2013/11/27 13:30:58.420,863,Get Antonio-Regular.woff,200,OK,Thread Group 1-9,true,43430,362,CACSVM-12354.local,9
2013/11/27 13:30:59.073,261,Get Antonio-Regular.tff,200,OK,Thread Group 1-19,true,48286,81,CACSVM-12354.local,19
2013/11/27 13:30:58.129,1206,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-5,true,64261,38,CACSVM-12354.local,5
2013/11/27 13:30:59.284,138,Get img-s49281a147f.png,200,OK,Thread Group 1-9,true,24351,61,CACSVM-12354.local,9
2013/11/27 13:30:58.103,1357,Get html,200,OK,Thread Group 1-33,true,168529,150,CACSVM-12354.local,33
2013/11/27 13:30:58.211,1275,Get html,200,OK,Thread Group 1-34,true,168536,151,CACSVM-12354.local,34
2013/11/27 13:30:59.225,286,Get xfinity_sans_icons_v1.0.woff,200,OK,Thread Group 1-18,true,64261,83,CACSVM-12354.local,18
2013/11/27 13:30:58.730,785,Call ajax,200,OK,Thread Group 1-27,true,168374,89,CACSVM-12354.local,27
2013/11/27 13:30:57.135,2392,Get html,200,OK,Thread Group 1-24,true,168536,1115,CACSVM-12354.local,24
2013/11/27 13:30:58.742,813,Get html,200,OK,Thread Group 1-39,true,168529,159,CACSVM-12354.local,39
2013/11/27 13:30:59.272,287,Get Antonio-Light.ttf,200,OK,Thread Group 1-16,true,46906,84,CACSVM-12354.local,16
2013/11/27 13:30:58.178,1479,Get Antonio-Regular.tff,200,OK,Thread Group 1-20,true,48286,836,CACSVM-12354.local,20
2013/11/27 13:30:59.428,250,Get show image,200,OK,Thread Group 1-9,true,29825,219,CACSVM-12354.local,9
2013/11/27 13:30:58.892,879,Get Roboto-Light.woff,200,OK,Thread Group 1-13,true,71137,66,CACSVM-12354.local,13
2013/11/27 13:30:59.679,96,Get spinner.gif,200,OK,Thread Group 1-9,true,6863,96,CACSVM-12354.local,9
2013/11/27 13:30:59.059,719,Get Antonio-Light.ttf,200,OK,Thread Group 1-15,true,46906,90,CACSVM-12354.local,15
2013/11/27 13:30:58.386,1422,Call ajax,200,OK,Thread Group 1-21,true,168380,89,CACSVM-12354.local,21
2013/11/27 13:30:58.476,1337,Get Antonio-Light.ttf,200,OK,Thread Group 1-1,true,46906,56,CACSVM-12354.local,1
2013/11/27 13:30:56.799,3015,Call ajax,200,OK,Thread Group 1-6,true,168374,60,CACSVM-12354.local,6
2013/11/27 13:30:59.512,332,Get Roboto-Light.woff,200,OK,Thread Group 1-18,true,71137,75,CACSVM-12354.local,18
2013/11/27 13:30:57.850,1997,Get Roboto-Light.woff,200,OK,Thread Group 1-2,true,71137,76,CACSVM-12354.local,2
2013/11/27 13:30:59.113,764,Call ajax,200,OK,Thread Group 1-29,true,168380,100,CACSVM-12354.local,29
2013/11/27 13:30:59.776,105,Get logo_seeit_splash_ipad.png,200,OK,Thread Group 1-9,true,2898,105,CACSVM-12354.local,9
2013/11/27 13:30:58.042,1874,Call ajax,200,OK,Thread Group 1-26,true,168374,87,CACSVM-12354.local,26
